"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 22 20:22:33 GMT 2024","Mon Apr 22 20:22:33 GMT 2024","0","tests.healthcheck","healthckeck_test","","","","test_database_connection_healthcheck",""
"passed","Mon Apr 22 20:22:33 GMT 2024","Mon Apr 22 20:22:33 GMT 2024","1","tests.healthcheck","healthckeck_test","","","","Healthc_check_tests",""
